,ref_number,recipient_legal_name,recipient_city,prog_name_en,prog_purpose_en,agreement_title_en,agreement_number,agreement_value,agreement_start_date,agreement_end_date,description_en,expected_results_en,additional_information_en,owner_org_title
353707,GC-WD-DEO-2006-2007-Q1-0050,Community Futures Development Corporation of Cariboo-Chilcotin|Société d'aide au développement des collectivités de Cariboo-Chilcotin,"Williams Lake, BC|Williams Lake, C.-B.",,Support operational funding for community economic development and business services,,6021,1258293,4/3/06,,,,"- Multi-year award

- Project to receive other federal funding",Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353708,GC-WD-DEO-2006-2007-Q1-0051,Community Futures Development Corporation of Central Interior First Nations|Société d'aide au développement des collectivités des Premières nations de la région centrale intérieure,"Kamloops, BC|Kamloops, C.-B.",,Support operational funding for community economic development and business services,,6022,1204360,4/3/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353709,GC-WD-DEO-2006-2007-Q1-0052,Community Futures Development Corporation of Central Island|Société d'aide au développement des collectivités de Central Island,"Nanaimo, BC|Nanaimo, C.-B.",,Support operational funding for community economic development and business services,,6023,1072172,4/3/06,,,,"- Multi-year award

- Project to receive other federal funding",Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353710,GC-WD-DEO-2006-2007-Q1-0053,Community Futures Development Corporation - Cowichan Region|Société d'aide au développement des collectivités de la région de Cowichan,"Duncan, BC|Duncan, C.-B.",,Support operational funding for community economic development and business services,,6024,1198293,4/3/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353711,GC-WD-DEO-2006-2007-Q1-0054,Community Futures Development Corporation of Fraser Fort George|Société d'aide au développement des collectivités de Fraser Fort George,"Prince George, BC|Prince George, C.-B.",,Support operational funding for community economic development and business services,,6025,1258293,4/3/06,,,,"- Multi-year award

- Project to receive other federal funding",Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353712,GC-WD-DEO-2006-2007-Q1-0055,Community Futures Development Corporation of Nadina|Société d'aide au développement des collectivités de Nadina,"Houston, BC|Houston, C.-B.",,Support operational funding for community economic development and business services,,6028,1293187,4/3/06,,,,"- Multi-year award

- Project to receive other federal funding",Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353713,GC-WD-DEO-2006-2007-Q1-0056,Community Futures Development Corporation of North Cariboo|Société d'aide au développement des collectivités de North Cariboo,"Quesnel, BC|Quesnel, C.-B.",,Support operational funding for community economic development and business services,,6029,1200690,4/5/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353714,GC-WD-DEO-2006-2007-Q1-0057,Nuu-chah-nulth Economic Development Corporation,"Port Alberni, BC|Port Alberni, C.-B.",,Support operational funding for community economic development and business services,,6030,1166111,4/3/06,,,,"- Multi-year award

- Project to receive other federal funding",Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353715,GC-WD-DEO-2006-2007-Q1-0058,Community Futures Development Corporation of the Pacific Northwest|Société d'aide au développement des collectivités du Nord-Ouest du Pacifique,"Prince Rupert, BC|Prince Rupert, C.-B.",,Support operational funding for community economic development and business services,,6031,1258293,4/3/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353716,GC-WD-DEO-2009-2010-Q2-00311,Progressive Forest Management,"Kaslo, BC|Kaslo, C.-B.",,Wildfire risk reduction activities,,10735,253500,8/19/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353717,GC-WD-DEO-2006-2007-Q1-0059,Community Futures Development Corporation of Peace Liard|Société d'aide au développement des collectivités de Peace Liard,"Dawson Creek, BC|Dawson Creek, C.-B.",,Support operational funding for community economic development and business services,,6032,1298293,4/3/06,,,,"- Multi-year award

- Project to receive other federal funding",Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353718,GC-WD-DEO-2006-2007-Q1-0060,Community Futures Development Corporation of Stuart Nechako|Société d'aide au développement des collectivités de Stuart-Nechako,"Vanderhoof, BC|Vanderhoof, C.-B.",,Support operational funding for community economic development and business services,,6034,1237415,4/3/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353719,GC-WD-DEO-2006-2007-Q1-0062,Destination Winnipeg Inc.,"Winnipeg, MB",,Support NASCO Conference on the Mid-Continent Trade and Transportation Corridor,,6494,25000,5/24/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353720,GC-WD-DEO-2006-2007-Q1-0063,The Corporation of the City of Cranbrook|Corporation municipale de Cranbrook,"Cranbrook, BC|Cranbrook, C.-B.",,Expand the Cranbrook Airport,,4212,4500000,3/28/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353721,GC-WD-DEO-2006-2007-Q1-0064,Aboriginal Business Service Network Society|Société du Réseau de services aux entreprises autochtones,"Kamloops, BC|Kamloops, C.-B.",,Extend and expand the Aboriginal Business Service Society's project activities.,,6387,164839,6/9/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353722,GC-WD-DEO-2006-2007-Q2-0031,Mounted Police Heritage Centre|Centre du patrimoine de la Gendarmerie royale du Canada,"Regina, SK",,Establish the Royal Canadian Mounted Police Heritage Centre in Regina,,6621,3000000,6/22/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353723,GC-WD-DEO-2006-2007-Q1-0065,Community Futures Development Association of B.C.|Association des sociétés d'aide au développement des collectivités de la C.-B.,"Mission, BC|Mission, C.-B.",,Provide operational funding to support Community Futures organizations in British Columbia,,6000,1156421,4/13/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353724,GC-WD-DEO-2006-2007-Q1-0066,Community Futures Development Corporation of Central Okanagan|Société d'aide au développement des collectivités de Central Okanagan,"Kelowna, BC|Kelowna, C.-B.",,Support operational funding for community economic development and business services,,6003,1105803,4/3/06,,,,"- Multi-year award

- Project to receive other federal funding",Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353725,GC-WD-DEO-2006-2007-Q1-0080,Université de Saint-Boniface,"Winnipeg, MB",,To hire research interns,,6091,43378,3/29/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353726,GC-WD-DEO-2006-2007-Q1-0067,Community Futures Development Corporation of Greater Trail|Société d'aide au développement des collectivités de Greater Trail,"Trail, BC|Trail, C.-B.",,Support operational funding for community economic development and business services,,6004,1110142,4/3/06,,,,"- Multi-year award

- Project to receive other federal funding",Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353727,GC-WD-DEO-2006-2007-Q1-0068,Community Futures Development Corporation of Howe Sound|Société d'aide au développement des collectivités de Howe Sound,"Squamish, BC|Squamish, C.-B.",,Support operational funding for community economic development and business services,,6005,1114212,4/3/06,,,,"- Multi-year award

- Project to receive other federal funding",Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353728,GC-WD-DEO-2006-2007-Q1-0069,Community Futures Development Corporation of Nicola Valley|Société d'aide au développement des collectivités de Nicola Valley,"Merritt, BC|Merritt, C.-B.",,Support operational funding for community economic development and business services,,6006,1118996,4/13/06,,,,"- Multi-year award

- Project to receive other federal funding",Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353729,GC-WD-DEO-2006-2007-Q1-0070,Community Futures Development Corporation of the North Okanagan|Société d'aide au développement des collectivités du Nord de l'Okanagan,"Vernon, BC|Vernon, C.-B.",,Support operational funding for community economic development and business services,,6008,1105803,4/3/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353730,GC-WD-DEO-2006-2007-Q1-0071,Community Futures Development Corporation of Okanagan-Similkameen|Société d'aide au développement des collectivités d'Okanagan-Similkameen,"Penticton, BC|Penticton, C.-B.",,Support operational funding for community economic development and business services,,6009,1114212,4/3/06,,,,"- Multi-year award

- Project to receive other federal funding",Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353731,GC-WD-DEO-2006-2007-Q1-0072,Community Futures Development Corporation of the Powell River Region|Société d'aide au développement des collectivités de la région de Powell River,"Powell River, BC|Powell River, C.-B.",,Support operational funding for community economic development and business services,,6010,1189884,4/13/06,,,,"- Multi-year award

- Project to receive other federal funding",Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353732,GC-WD-DEO-2006-2007-Q1-0073,Community Futures Development Corporation of Revelstoke|Société d'aide au développement des collectivités de Revelstoke,"Revelstoke, BC|Revelstoke, C.-B.",,Support operational funding for community economic development and business services,,6011,1072172,4/3/06,,,,"- Multi-year award

- Project to receive other federal funding",Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353733,GC-WD-DEO-2006-2007-Q1-0074,Community Futures Development Corporation of the Shuswap|Société d'aide au développement des collectivités de Shuswap,"Salmon Arm, BC|Salmon Arm, C.-B.",,Support operational funding for community economic development and business services,,6012,1147844,4/3/06,,,,"- Multi-year award

- Project to receive other federal funding",Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353734,GC-WD-DEO-2006-2007-Q1-0075,Stó:lo Community Futures Corporation|Société d'aide au développement des collectivités de Stó:lo,"Chilliwack, BC|Chilliwack, C.-B.",,Support operational funding for community economic development and business services,,6015,1124071,4/3/06,,,,"- Multi-year award

- Project to receive other federal funding",Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353735,GC-WD-DEO-2006-2007-Q1-0076,Discover Manitoba Conference and Expo Inc.,"Thompson, MB",,To deliver the annual Discover Manitoba Conference and Expo,,6307,27569,3/17/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353736,GC-WD-DEO-2006-2007-Q1-0081,Community Futures West Interlake Inc.|Société d'aide au développement des collectivités de West Interlake inc.,"Ashern, MB",,Support operational funding for community economic development and business services,,6187,1156991,3/29/06,,,,"- Multi-year award

- Project to receive other federal funding",Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353737,GC-WD-DEO-2006-2007-Q1-0082,Community Futures Triple R Corporation|Société d'aide au développement des collectivités Triple R,"Morris, MB",,Support operational funding for community economic development and business services,,6188,1153900,3/28/06,,,,"- Multi-year award

- Project to receive other federal funding",Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353738,GC-WD-DEO-2006-2007-Q1-0083,Community Futures Westman Inc.|Société d'aide au développement des collectivités de Westman inc.,"Brandon, MB",,Support operational funding for community economic development and business services,,6189,1162491,3/28/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353739,GC-WD-DEO-2006-2007-Q1-0084,City of Victoria|Ville de Victoria,"Victoria, BC|Victoria, C.-B.",,Conduct a study on the economics of heritage building renovation and incentive program,,6168,28300,3/23/06,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353740,GC-WD-DEO-2006-2007-Q1-0085,Ka Ni Kanichihk Inc.,"Winnipeg, MB",,To support a student buddy mentoring program,,6418,52500,6/28/06,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353741,GC-WD-DEO-2006-2007-Q1-0086,Beaver River Community Futures Development Corporation|Société d'aide au développement des collectivités de Beaver River,"Meadow Lake, SK",,Support operational funding for community economic development and business services,,6214,1311111,3/13/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353742,GC-WD-DEO-2006-2007-Q1-0087,Meridian Community Futures Development Corporation|Société d'aide au développement des collectivités de Meridian,"Kindersley, SK",,Support operational funding for community economic development and business services,,6218,1166111,3/13/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353743,GC-WD-DEO-2006-2007-Q2-0032,Telecommunications Research Laboratories and TR Technologies Inc.,"Edmonton, AB",,To support core operations of the Telecommunications Research Laboratories (TRLabs),,6300,10000000,8/16/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353744,GC-WD-DEO-2006-2007-Q1-0088,Mid-Sask Community Futures Development Corporation|Société d'aide au développement des collectivités du Centre de la Saskatchewan,"Outlook, SK",,Support operational funding for community economic development and business services,,6219,1166111,3/13/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353745,GC-WD-DEO-2006-2007-Q1-0089,Newsask Community Futures Development Corporation|Société d'aide au développement des collectivités de  Newsask,"Tisdale, SK",,Support operational funding for community economic development and business services,,6220,1154132,3/14/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353746,GC-WD-DEO-2006-2007-Q1-0090,Saskatoon Prairieland Park Corporation,"Saskatoon, SK",,"Construct a 50,000 square foot trade show and exhibition building",,6303,4000000,6/5/06,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353747,GC-WD-DEO-2006-2007-Q1-0091,Northern Lights College|Collège Northern Lights,"Dawson Creek, BC|Dawson Creek, C.-B.",,Establish a Centre of Excellence for Oil and Gas Industry Training,,5682,800000,5/24/06,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353748,GC-WD-DEO-2006-2007-Q1-0093,Asia Pacific Foundation of Canada|Fondation Asie-Pacifique du Canada,"Vancouver, BC|Vancouver, C.-B.",,Research and build awareness of economic development opportunities in Asia-Pacific region,,6152,139166,5/4/06,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353749,GC-WD-DEO-2006-2007-Q1-0094,Biomedical Commercialization Canada Inc.,"Winnipeg, MB",,To provide equipment for a new commercialization model,,6160,1170230,3/22/06,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353750,GC-WD-DEO-2006-2007-Q2-0033,Community Futures Manitoba Inc.,"Winnipeg, MB",,To maintain and expand regional access sites in Manitoba,,6360,46419,7/11/06,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353751,GC-WD-DEO-2006-2007-Q1-0096,La Société de développement économique de la Colombie-Britannique,"Vancouver, BC|Vancouver, C.-B.",,Create workshops for Francophones on procurement opportunities related to 2010 Olympics,,5759,25653,4/4/06,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353752,GC-WD-DEO-2006-2007-Q1-0097,Friends of the Royal British Columbia Museum Foundation,"Victoria, BC|Victoria, C.-B.",,Enhance museum exhibits to attract new tourists,,5404,140000,3/13/06,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353753,GC-WD-DEO-2006-2007-Q1-0098,Research Money Inc.,"Toronto, ON|Toronto,",,Support a science and technology conference,,6174,52167,5/8/06,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353754,GC-WD-DEO-2006-2007-Q1-0099,City of Victoria|Ville de Victoria,"Victoria, BC|Victoria, C.-B.",,"Develop indicators to measure economic, social and environmental impacts of Dockside Green",,6201,30000,3/24/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353755,GC-WD-DEO-2006-2007-Q1-00100,Judith Marcuse Projects Society,"Vancouver, BC|Vancouver, C.-B.",,Support for the Earth Festival in conjunction with 2006 World Urban Forum,,5951,50000,4/5/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353756,GC-WD-DEO-2006-2007-Q1-00107,411 Seniors Centre Society (1977),"Vancouver, BC|Vancouver, C.-B.",,Develop a five-day academy to expand grassroots women's particiation in World Urban Forum,,5724,83491,3/27/06,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353757,GC-WD-DEO-2006-2007-Q1-00101,Judith Marcuse Projects Society,"Vancouver, BC|Vancouver, C.-B.",,Support for the enviromental arts and culture Green Stream Project,,5952,50000,4/13/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353758,GC-WD-DEO-2006-2007-Q1-00102,Council of Tourism Associations of British Columbia,"Vancouver, BC|Vancouver, C.-B.",,Develop tourism business strategy for British Columbia,,5978,50000,4/4/06,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353759,GC-WD-DEO-2012-2013-Q3-0043,Calgary Young Men's Christian Association,"Calgary, AB",,Upgrade Eau Claire YMCA in Calgary,,11768,51356,10/29/12,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353760,GC-WD-DEO-2006-2007-Q1-00103,Canadian Light Source Inc.|Centre canadien de rayonnement synchrotron inc.,"Saskatoon, SK",,Construct 7 Canadian Light Source beamlines for industrial and commercial applications,,5612,5000000,3/1/06,,,,"- Multi-year award

- Project to receive other federal funding",Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353761,GC-WD-DEO-2006-2007-Q1-00104,Smart Growth British Columbia,"Vancouver, BC|Vancouver, C.-B.",,Support a series of workshops on sustainable urban growth,,5959,71198,5/26/06,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353762,GC-WD-DEO-2006-2007-Q1-00105,University of Victoria Innovation and Development Corporation|Innovation and Development Corporation de l'Université de Victoria,"Victoria, BC|Victoria, C.-B.",,Engage in consultation process on current and emerging port technology,,5378,57398,3/29/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353763,GC-WD-DEO-2006-2007-Q1-00106,Community Futures North Red Inc.|Société d'aide au développement des collectivités de North Red inc.,"Selkirk, MB",,Support operational  funding for community economic development and business services,,6183,1110624,3/28/06,,,,"- Multi-year award

- Project to receive other federal funding",Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353764,GC-WD-DEO-2006-2007-Q1-00108,Community Futures Development Corporation of Alberni-Clayoquot|Société d'aide au développement des collectivités d'Alberni-Clayoquot,"Port Alberni, BC|Port Alberni, C.-B.",,Support operational funding for community economic development and business services,,6020,1156253,4/3/06,,,,"- Multi-year award

- Project to receive other federal funding",Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353765,GC-WD-DEO-2006-2007-Q1-00109,Haida Gwaii Community Futures Development Corporation|Société d'aide au développement des collectivités de Haida Gwaii,"Masset, BC|Masset, C.-B.",,Support operational funding for community economic development and business services,,6026,1198293,4/13/06,,,,"- Multi-year award

- Project to receive other federal funding",Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353766,GC-WD-DEO-2006-2007-Q1-00110,Community Futures Strathcona|Société d'aide au développement des collectivités de Strathcona,"Campbell River, BC|Campbell River, C.-B.",,Support operational funding for community economic development and business services,,6033,1198293,4/13/06,,,,"- Multi-year award

- Project to receive other federal funding",Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353767,GC-WD-DEO-2006-2007-Q1-00111,Squamish & the Lil'wat Nations & Spo7ez Cultural Centre & Community Society|The Squamish & the Lil'wat Nations & Spo7ez Cultural Centre & Community Society,"Whistler, BC|Whistler, C.-B.",,Establish Squamish and Lil'wat Cultural Centre to promote cultural and ecotourism industry,,5841,1000000,3/1/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353768,GC-WD-DEO-2006-2007-Q1-00112,Community Futures Development Corporation of Boundary Area|Société d'aide au développement des collectivités de la région de Boundary,"Grand Forks, BC|Grand Forks, C.-B.",,Support operational funding for community economic development and business services,,6001,1123881,3/24/10,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353769,GC-WD-DEO-2006-2007-Q1-00113,Community Futures Development Corporation of North Fraser|Société d'aide au développement des collectivités de North Fraser,"Mission, BC|Mission, C.-B.",,Support operational funding for community economic development and business services,,6007,1114212,4/13/06,,,,"- Multi-year award

- Project to receive other federal funding",Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353770,GC-WD-DEO-2006-2007-Q1-00114,Community Futures Development Corporation of South Fraser|Société d'aide au développement des collectivités de South Fraser,"Chilliwack, BC|Chilliwack, C.-B.",,Support operational funding for community economic development and business services,,6014,1114212,4/4/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353771,GC-WD-DEO-2006-2007-Q1-00115,Community Futures Network of Alberta|Réseau des sociétés d'aide au développement des collectivités de l'Alberta,"Cochrane, AB",,Provide operational funding to support Community Futures organizations in Western Canada,,6290,1438000,4/13/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353772,GC-WD-DEO-2006-2007-Q1-00116,White Horse Plains Community Futures Development Corporation|Société d'aide au développement des collectivités de White Horse Plains,"Elie, MB",,Support operational funding for community economic development and business services,,6190,1143442,3/28/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353773,GC-WD-DEO-2006-2007-Q1-00117,Community Futures Wood Buffalo|Société d'aide au développement économique des collectivités de Wood Buffalo,"Fort McMurray, AB",,Support operational funding for community economic development and business services,,5858,1245601,3/13/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353774,GC-WD-DEO-2006-2007-Q2-006,Vancity Capital Corporation|VANCITY CAPITAL CORPORATION,"Vancouver, BC|Vancouver, C.-B.",,To leverage private Growth Capital lending for Small & Medium-sized Enterprises,,6428,2995433.03,8/2/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353775,GC-WD-DEO-2006-2007-Q1-00118,Community Futures Lethbridge Region|Société d'aide au développement économique des collectivités de la région de Lethbridge,"Lethbridge, AB",,Support operational funding for community economic development and business services,,5864,1198151,3/13/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353776,GC-WD-DEO-2006-2007-Q1-00119,Community Futures Alberta Southwest|Société d'aide au développement des collectivités du Sud-Ouest de l'Alberta,"Fort MacLeod, AB",,Support operational funding for community economic development and business services,,5871,1098349,3/13/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353777,GC-WD-DEO-2006-2007-Q1-00120,Community Futures Development Corporation of Central Kootenay|Société d'aide au développement des collectivités de Central Kootenay,"Nelson, BC|Nelson, C.-B.",,Support operational funding for community economic development and business services,,6002,1177273,3/24/10,,,,"- Multi-year award

- Project to receive other federal funding",Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353778,GC-WD-DEO-2006-2007-Q1-00121,Community Futures Development Corporation of Mt. Waddington|Société d'aide au développement des collectivités de Mount Waddington,"Port McNeill, BC|Port McNeill, C.-B.",,Support operational funding for community economic development and business services,,6027,1213566,4/3/06,,,,"- Multi-year award

- Project to receive other federal funding",Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353779,GC-WD-DEO-2006-2007-Q1-00122,Emily Carr University of Art and Design|Université d'art et de design Emily-Carr,"Vancouver, BC|Vancouver, C.-B.",,Establish new industry liaison office for technology commercialization,,5830,90596,3/27/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353780,GC-WD-DEO-2006-2007-Q2-005,Persephone Theatre|Théâtre Persephone,"Saskatoon, SK",,Build a new theatre facility,,6306,2500000,8/2/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353781,GC-WD-DEO-2006-2007-Q1-00123,Community Futures East Kootenay|Société d'aide au développement des collectivités d'East Kootenay,"Cranbrook, BC|Cranbrook, C.-B.",,Support operational funding for community economic development and business services,,6013,1198293,4/3/06,,,,"- Multi-year award

- Project to receive other federal funding",Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353782,GC-WD-DEO-2006-2007-Q2-001,Edmonton Housing Trust Fund,"Edmonton, AB",,To support community level pilot projects for the Urban Aboriginal Strategy,,3268,850000,9/13/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353783,GC-WD-DEO-2006-2007-Q2-0034,College Educacentre College|Collège Educacentre,"Vancouver, BC|Vancouver, C.-B.",,Develop online campus for francophone community,,5683,639638,7/5/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353784,GC-WD-DEO-2006-2007-Q2-002,The Business Link Business Service Centre|Centre de services aux entreprises Liaison Entreprise,"Edmonton, AB",,"To extend funding to The Export Link, a service centre for Alberta exporters.",,1978,73551,8/3/06,,,,"- Multi-year award
- Increase to original project award",Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353785,GC-WD-DEO-2006-2007-Q2-003,S.U.C.C.E.S.S. (Also Known As United Chinese Community Enrichment Services Socie|United Chinese Community Enrichment Services Society (S.U.C.C.E.S.S.),"Vancouver, BC|Vancouver, C.-B.",,Support  Business Links for New Immigrants program,,6289,331538,8/4/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353786,GC-WD-DEO-2006-2007-Q2-004,Wanuskewin Heritage Park Authority,"Saskatoon, SK",,Renewal of Wanuskewin Heritage Park in order to increase visitor numbers,,6305,1000000,8/16/06,,,,"- Multi-year award

- Project to receive other federal funding",Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353787,GC-WD-DEO-2006-2007-Q2-008,Distinctive Employment Counselling Services of Alberta,"Edmonton, AB",,Deliver the Entrepreneurs with Disabilities Program,,5936,750000,7/5/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353788,GC-WD-DEO-2012-2013-Q3-0053,The Haysboro Community Association|Association communautaire Haysboro,"Calgary, AB",,Rehabilitate Haysboro Community Centre in Calgary,,11972,48375,11/8/12,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
353789,GC-WD-DEO-2006-2007-Q2-0010,Community Futures Network of Alberta|Réseau des sociétés d'aide au développement des collectivités de l'Alberta,"Cochrane, AB",,Deliver the  Entrepreneurs with Disabilities Program,,5938,750000,7/5/06,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
