,ref_number,recipient_legal_name,recipient_city,prog_name_en,prog_purpose_en,agreement_title_en,agreement_number,agreement_value,agreement_start_date,agreement_end_date,description_en,expected_results_en,additional_information_en,owner_org_title
354373,GC-WD-DEO-2009-2010-Q2-0087,St. Georges Community Development Corporation|Société d'aide au développement des collectivités de St. Georges,"St. Georges, MB",,Construct and landscape homes,,8556,315000,7/30/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354374,GC-WD-DEO-2009-2010-Q2-0057,Regional District of Fraser-Fort George|District régional de Fraser-Fort George,"Prince George, BC|Prince George, C.-B.",,Investigate economic diversification opportunities in Robson and Canoe Valleys,,7269,52500,6/9/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354375,GC-WD-DEO-2009-2010-Q2-0058,Rural Municipality of Dauphin|Municipalité rurale de Dauphin,"Dauphin, MB",,Construct a waterline to service an industrial park north west of Dauphin.,,8101,289242,6/5/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354376,GC-WD-DEO-2009-2010-Q2-0059,City of Moose Jaw|Ville de Moose Jaw,"Moose Jaw, SK",,"Upgrade structure, mechanical equipment and accessibility to the pool and natatorium",,8453,198500,6/5/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354377,GC-WD-DEO-2009-2010-Q2-0060,City of Meadow Lake|Municipalité de Meadow Lake,"Meadow Lake, SK",,Install spray park at the Aquatic Centre,,8455,95000,8/19/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354378,GC-WD-DEO-2009-2010-Q2-0061,City of Terrace|Ville de Terrace,"Terrace, BC|Terrace, C.-B.",,SportsPlex Arena upgrades,,8247,133331,8/19/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354379,GC-WD-DEO-2009-2010-Q2-0062,Riverhurst Irrigation District Inc.,"Riverhurst, SK",,Develop infill irrigation infrastructure capacity near Riverhurst and surrounding area,,8431,1440000,6/17/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354380,GC-WD-DEO-2009-2010-Q2-0063,"South Saskatchewan River Irrigation District No. 1, Inc.","Outlook, SK",,Develop infill irrigation infrastructure capacity near Outlook and surrounding area,,8432,1440000,6/17/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354381,GC-WD-DEO-2009-2010-Q2-0088,Northern Settlement of Brabant Lake|Localité nordique de Brabant Lake,"La Ronge, SK",,Create a campground/picnic facility and boat launch with dock,,8565,30000,8/19/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354382,GC-WD-DEO-2009-2010-Q2-0064,"Luck Lake Irrigation District, Inc.","Birsay, SK",,Develop infill irrigation infrastructure capacity near Birsay and surrounding area,,8434,1890000,6/17/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354383,GC-WD-DEO-2009-2010-Q2-0086,Saskatoon Prairieland Park Corporation,"Saskatoon, SK",,Refurbish Trade Centre Halls A and B,,8543,3000000,8/7/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354384,GC-WD-DEO-2009-2010-Q2-0065,Village of Maryfield|Village de Maryfield,"Maryfield, SK",,Upgrade curling rink insulation and improve wheelchair accessibility to arena washrooms,,8454,25250,6/5/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354385,GC-WD-DEO-2009-2010-Q2-0066,Cariboo Regional District|District régional de Cariboo,"Williams Lake, BC|Williams Lake, C.-B.",,Establish a framework for multi-stakeholder regional development services,,7511,32336,6/9/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354386,GC-WD-DEO-2009-2010-Q2-0067,The Strathcona Wilderness Institute Society,"Courtenay, BC|Courtenay, C.-B.",,The Recipient will enclose the basement of a constructed building shell,,8289,28661,7/7/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354387,GC-WD-DEO-2009-2010-Q2-0068,Cape Mudge Indian Band|Bande indienne Cape Mudge,"Campbell River, BC|Campbell River, C.-B.",,Install underground utilities and roadwork construction on the Quinsam Reserve,,8808,3000000,9/4/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354388,GC-WD-DEO-2009-2010-Q2-0069,Yunesit'in Government - Stone Indian Band|Gouvernement de Yunesit'in - Bande indienne de Stone,"Hanceville, BC|Hanceville, C.-B.",,Develop a cultural tourism program and implementation plan,,7051,30150,6/9/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354389,GC-WD-DEO-2009-2010-Q2-0070,Town of Kamsack|Municipalité de Kamsack,"Kamsack, SK",,Upgrade Arena with geothermal system,,8456,239003,6/5/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354390,GC-WD-DEO-2009-2010-Q2-0089,Regional District of Kootenay Boundary|District régional de Kootenay Boundary,"Trail, BC|Trail, C.-B.",,Upgrade the Beaver Valley Arena,,9381,53340,7/28/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354391,GC-WD-DEO-2009-2010-Q2-0090,The Anglican Synod of the Diocese of Caledonia|Anglican Synod of the Diocese of Caledonia,"Prince Rupert, BC|Prince Rupert, C.-B.",,Renovate and revitalize Camp Caledonia,,8311,128750,8/19/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354392,GC-WD-DEO-2009-2010-Q2-0071,British Columbia Shellfish Growers Association,"Comox, BC|Comox, C.-B.",,Expand markets for farmed BC shellfish products and increase producer productivity,,8460,150000,8/19/09,,,,"- Multi-year award

- Project to receive other federal funding",Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354393,GC-WD-DEO-2009-2010-Q2-0072,The Winnipeg Chamber of Commerce|La Chambre de commerce de Winnipeg,"Winnipeg, MB",,Support the second phase of the Selling Winnipeg to the World initiative,,7959,230000,7/8/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354394,GC-WD-DEO-2009-2010-Q2-0073,City of Martensville|Municipalité de Martensville,"Martensville, SK",,Upgrade existing walking paths and develop green space areas in Kinsmen Park,,8068,264666,6/5/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354395,GC-WD-DEO-2009-2010-Q2-0074,Rural Municipality of Brokenhead|Municipalité rurale de Brokenhead,"Beausejour, MB",,Upgrade Garson Arena,,8072,63308,7/30/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354396,GC-WD-DEO-2009-2010-Q2-0075,St. Avila Home and School Association|Association parents-maîtres de l'école St. Avila,"Winnipeg, MB",,Redevelop Richmond King's Community Centre and Ecole St. Avila sites,,8513,76500,7/30/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354397,GC-WD-DEO-2009-2010-Q2-0076,City of Kelowna|Ville de Kelowna,"Kelowna, BC|Kelowna, C.-B.",,Support capital improvements to four major recreational facilities,,8301,972095,7/28/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354398,GC-WD-DEO-2009-2010-Q2-0077,Young Men's Christian Association of Edmonton,"Edmonton, AB",,Provide for locker room renovations to the William Lutsky YMCA,,8092,112107,7/15/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354399,GC-WD-DEO-2009-2010-Q2-0078,Young Men's Christian Association of Edmonton,"Edmonton, AB",,Support renovations to the gymnasium and locker rooms at the Jamie Platz YMCA,,8093,108333,8/6/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354400,GC-WD-DEO-2009-2010-Q2-0079,Roe Lake and District Recreation Commission|Commission des loisirs de Roe Lake et du district,"Lone Butte, BC|Lone Butte, C.-B.",,Upgrade baseball field and multi-purpose recreational facility,,8331,40959,8/19/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354401,GC-WD-DEO-2009-2010-Q2-0080,Golden Timber Frames Limited Partnership and Golden Timber Frames Ltd.,"Invermere, BC|Invermere, C.-B.",,"Develop and market a new ""Massive Exterior Wood Wall System"" technology",,8693,396479,7/28/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354402,GC-WD-DEO-2009-2010-Q2-0081,Town of Three Hills|Municipalité de Three Hills,"Three Hills, AB",,Support the design and construction of the recreational trail system,,8698,56682,7/31/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354403,GC-WD-DEO-2009-2010-Q2-0082,Vernon Science and Discovery Society,"Vernon, BC|Vernon, C.-B.",,Restore building facade and develop programming at the Okanagan Science Centre,,8782,86430,8/21/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354404,GC-WD-DEO-2009-2010-Q2-0083,Village of Nakusp|Village de Nakusp,"Nakusp, BC|Nakusp, C.-B.",,Construct a new Fire Hall and Emergency Services Centre,,10142,1345000,9/17/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354405,GC-WD-DEO-2009-2010-Q2-0084,Town of Beaumont|Municipalité de Beaumont,"Beaumont, AB",,Provide for the extension of existing asphalt pathways and trails in Beaumont,,9277,290286,8/6/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354406,GC-WD-DEO-2009-2010-Q2-0085,Pulse Energy Inc.,"Vancouver, BC|Vancouver, C.-B.",,"Install energy management software in Hartley Bay, Haida Gwaii and Hesquiaht communities",,8480,1217888,6/5/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354407,GC-WD-DEO-2009-2010-Q2-00145,Prince George Snowmobile Club|Club de motoneige de Prince George,"Prince George, BC|Prince George, C.-B.",,Trail maintenance activities and improvements,,10864,213166,9/19/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354408,GC-WD-DEO-2009-2010-Q2-0091,Cariboo Regional District|District régional de Cariboo,"Williams Lake, BC|Williams Lake, C.-B.",,Upgrade the Quesnel and District Arts and Recreation Centre,,8322,208000,7/28/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354409,GC-WD-DEO-2009-2010-Q2-0092,District of Mission|District de Mission,"Mission, BC|Mission, C.-B.",,Upgrade outdoor lacrosse box and build washroom facilities at Centennial Park,,9319,69450,8/10/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354410,GC-WD-DEO-2009-2010-Q2-0093,The City of St. Albert|Ville de St. Albert,"St. Albert, AB",,Support rehabilitation to the existing Lions Park structures and its surroundings,,9341,133200,8/19/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354411,GC-WD-DEO-2009-2010-Q2-0094,Golden Community Resources Society,"Golden, BC|Golden, C.-B.",,Construct a water spray park in Golden,,9362,101286,9/11/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354412,GC-WD-DEO-2009-2010-Q2-0095,Tsilhqot'in National Government,"Williams Lake, BC|Williams Lake, C.-B.",,Determine the feasibility of a bio-energy plant and power transmission line upgrade,,7240,318206,6/9/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354413,GC-WD-DEO-2009-2010-Q2-0096,City of Surrey|Ville de Surrey,"Surrey, BC|Surrey, C.-B.",,Renovate and upgrade Newton Recreation Centre,,8374,133333,7/7/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354414,GC-WD-DEO-2009-2010-Q2-0097,City of Surrey|Ville de Surrey,"Surrey, BC|Surrey, C.-B.",,Retrofit the Lodge Dining Hall and Sanford Hall at Kwomais Point Park,,8379,82500,9/11/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
