,ref_number,recipient_legal_name,recipient_city,prog_name_en,prog_purpose_en,agreement_title_en,agreement_number,agreement_value,agreement_start_date,agreement_end_date,description_en,expected_results_en,additional_information_en,owner_org_title
94269,GC-2016-Q4-00029,NATURE CANADA,"Ottawa, Ontario",,Red Knot conservation in the James Bay basin - Collecting data to support the Western Hemisphere Shorebird Reserve Network (WHSRN) status in parts of Rupert Bay and south eastern James Bay.,,GCXE17C101,62650,1/24/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94270,GC-2016-Q4-00030,NATURE CONSERVANCY OF CANADA,"Fredericton, New Brunswick|Fredericton, Nouveau-Brunswick",,Identifying Priorities for Freshwater Restoration and Conservation in the Gulf of Maine,,GCXE17P013,199994,9/12/16,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94271,GC-2016-Q4-00031,NATURE-ACTION QUÉBEC,"Beloeil, Quebec|Beloeil, Québec",,Continued Efforts to Change Practices and Concrete Actions in Four Agricultural Areas in the Montérégie Region,,GCXE17C363,109698,1/24/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94272,GC-2016-Q4-00032,NIAGARA PARKS COMMISSION,"Niagara Falls, Ontario",,Chippawa Grassland Bird Habitat Management Plan Project,,GCXE17C368,120000,3/28/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94273,GC-2016-Q4-00033,NUU CHAH NULUTH WCVI AQUATIC MANAGEMENT SOCIETY,"Port Alberni, British Columbia|Port Alberni, Colombie britannique",,Chinook Restoration Project,,GCXE17C240,35000,1/10/17,,,,Project funded by multiple federal departments and/or agencies.,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94274,GC-2016-Q4-00034,ORGANISATION INTERNATIONALE DE LA FRANCOPHONIE,"Québec, Quebec|Québec, Québec",,Capacity Building for the Organisation internationale de la Francophonie,,GCXE17I012,50000,1/10/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94275,GC-2016-Q4-00035,PRO-VERT SUD-OUEST,"Montréal, Quebec|Montréal, Québec",,Green alleys for our neighbourhood,,GCXE17P124,76394,2/24/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94276,GC-2017-Q2-00185,TORONTO AND REGION CONSERVATION AUTHORITY,"DOWNSVIEW, ON",,Humber Bay Park Shoreline Restoration,,GCXE18P061,99135,8/9/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94277,GC-2016-Q4-00037,SASKATCHEWAN CROP INSURANCE CORPORATION,"Melville, Saskatchewan",,"Crop Damage Prevention Program, North American Waterfowl Management Plan",,GCXE17C243,74540,9/14/16,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94278,GC-2016-Q4-00038,SENTIER URBAIN,"Montréal, Quebec|Montréal, Québec",,Urban forests,,GCXE17P122,99879,10/3/16,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
