recipient_city,agreement_value,year
Mates Corner,[1802. 1840.],[2018 2019]
Matheson,[14314.],[2018]
Matlock,[3101. 3686.],[2018 2019]
Mattawa,[41580.     0.],[2018 2019]
Matthews Settlement,[1352. 2760.],[2018 2019]
Mattice,[ 5040. 10070.],[2018 2019]
Maugerville,[50000. 39100.  1577.],[2010 2015 2018]
Mavillette,[4295. 4514.],[2018 2019]
Maxville,[18985.],[2018]
Mayerthorpe,[10682. 17078.],[2018 2019]
"Mayerthorpe, Alberta",[26211.],[2017]
Mayfield,[1472.],[2019]
Mayne Island,[14663.  8822.],[2018 2019]
Mayne island,[1520.],[2018]
Maynooth,[5040.    0.],[2018 2019]
Mayo,[217380.  24125.  37892.],[2011 2018 2019]
McAdam,[35392. 33893. 57206.],[2007 2018 2019]
McArthurs Mills,[37000.],[2015]
McAuley,[1340. 4318.],[2018 2019]
McBride,[38875. 39112. 72403.],[2008 2018 2019]
"McBride, British Columbia|McBride, Colombie-Britannique",[27351.],[2017]
McCallum Settlement,[1650. 1734.],[2018 2019]
McCreary,[4441. 6868.],[2018 2019]
McDonalds Corners,[16800.],[2018]
"McDonalds Corners, Ontario",[27360.],[2017]
McDougall,[25704. 30374.],[2014 2018]
"McGregor, Ontario",[50000.],[2017]
McIvers,[ 5224. 15147.],[2018 2019]
McKerrow,[3360.],[2018]
McLean,[2631. 3591.],[2018 2019]
McLennan,[7418. 9556.],[2018 2019]
McLeod Lake,[15443.],[2018]
McMasterville,[19498.],[2018]
McPhersons Mills,[3436. 3095.],[2018 2019]
Mcmasterville,[31500.],[2019]
Meacham,[7181.],[2019]
Meadow Creek,[3020.],[2018]
Meadow Lake,[146199. 313583. 437928. 100000.   5263.  43707.],[2006 2007 2011 2015 2018 2019]
Meadow Portage,[1193.],[2019]
Meadows,[1005. 7129.],[2018 2019]
Meaford,[ 50000.  31785.  35475. 366064.],[2012 2015 2018 2019]
Meat Cove,[5086. 3611.],[2018 2019]
Meath Park,[996.],[2019]
Medicine Hat,"[ 227611. 1075089.  379769.  216391.  467006. 1481150.  415115.  606361.
 1624127.  471820.  341678.  404792. 5654760.]",[2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2018 2019]
"Medicine Hat,",[16800.],[2019]
"Medicine Hat, Alberta",[243648.  49879.  32000.],[2016 2017 2018]
Meductic,[1577. 1840.],[2018 2019]
Meductic | Médoctec,[1802.],[2018]
Meeting Creek,[8400.],[2019]
Melancthon,[3360.],[2018]
Melbourne,[ 3294. 29748.],[2018 2019]
Meldrum  Bay,[3797.],[2018]
Melfort,[ 29630. 260362. 151776. 175106. 174517.  50000.  55346.  61843.],[2006 2007 2008 2009 2010 2015 2018 2019]
"Melfort, Sask",[2876.],[2019]
"Melfort, Saskatchewan",[50000.],[2018]
Melita,[49298. 73122. 84601. 77898. 71148.  7372.],[2006 2007 2008 2009 2010 2019]
Melrose,[1553.],[2019]
Melvern Square,[2322.],[2019]
Melville,"[ 47367.  72551.  84588.  77936.  77676. 182592.  45025. 132811. 341118.
  18350. 103493.]",[2006 2007 2008 2009 2010 2011 2012 2014 2016 2018 2019]
Membertou,[2153709. 6018556.  279231.   10183.],[2008 2013 2018 2019]
Memramcook,[330138. 163732.  91499.  70566. 140509.],[2006 2007 2008 2018 2019]
Meota,[ 7894. 25193.],[2018 2019]
Mercier,[166798.  41602. 109045.],[2007 2018 2019]
Merigomish,[6872. 9286.],[2018 2019]
Merlin,[50000.  1680.],[2008 2018]
Mermaid,[1472.],[2019]
Merrickville,[911247. 331422.  26511.],[2010 2012 2018]
Merrit,[26466.],[2019]
Merritt,[ 93430.  99760.  99741.  85443. 111258.  28330. 179469. 182097.],[2006 2007 2008 2009 2010 2011 2018 2019]
"Merritt, British Columbia|Merritt, Colombie-Britannique",[25641. 44525.],[2017 2018]
Merville,[37880.  6489. 10133.],[2012 2018 2019]
Mesachie Lake,[9108. 7756.],[2018 2019]
Messines,[57548.  5994.  7438.],[2011 2018 2019]
Metcalfe,[ 35717. 127515.],[2018 2019]
Meteghan,[ 7155. 18872.],[2018 2019]
Metochosin,[16423.],[2018]
Miami,[8878. 6864.],[2018 2019]
Midale,[6577. 5663.],[2018 2019]
Middle Arm,[11190. 34348.],[2018 2019]
Middle Bay,[3294.],[2018]
Middle LaHave,[1041.],[2019]
Middle Lake,[163890.  13737.],[2018 2019]
Middle Musquodoboit,[197436.  19616.  17380.],[2007 2018 2019]
Middle Sackville,[23586. 23257.],[2018 2019]
Middleton,[31735. 22997. 41416.],[2011 2018 2019]
Midhurst,[ 5383670.    38925.    78040. 14327243.],[2014 2016 2018 2019]
"Midhurst, Ontario",[44460.],[2017]
Midland,[ 50000.  75170. 134032.  24437.],[2013 2014 2018 2019]
"Midland, Ontario",[50000.],[2017]
Midway,[21660. 34211.],[2018 2019]
Migisi Sahgaigan,[4500.],[2019]
Mikado,[1316.],[2018]
Milan,[12352. 13204.],[2018 2019]
Mildmay,[1680.],[2018]
Milestone,[4363. 8449.],[2018 2019]
Milford,[ 5332. 10835.],[2018 2019]
Milford Station,[14727.],[2018]
Milk River,[21216. 16178.],[2018 2019]
Mill Bay,[3039. 9422.],[2018 2019]
Mill Cove,[3167. 3235.],[2018 2019]
Millarville,[3709. 9556.],[2018 2019]
Millbrook,[32798. 31344. 91218.],[2016 2018 2019]
Mille-Isles,[3600. 7000.],[2018 2019]
Miller Lake,[8400.],[2018]
Millertown,[5660. 3192.],[2018 2019]
Millet,[534565.  21365.  31709.],[2008 2018 2019]
Millgrove,[1680.],[2018]
Milltown,[22673. 20557.],[2018 2019]
Millville,[ 8250. 15476.],[2018 2019]
Milton,[  90000.   50000.   50000.   67100.  346594. 1055349.],[2011 2012 2015 2016 2018 2019]
"Milton , Ontario",[27830.],[2017]
"Milton, Ontario",[82319.],[2017]
Milton-George's Brook,[3055.],[2019]
Milverton,[7888.],[2018]
Miminegash,[25000.],[2019]
Mindemoya,[50000. 27625. 19130.],[2014 2015 2018]
"Mindemoya, Ontario",[50000.],[2017]
Minden,[32500. 88425. 50000. 22201.     0.],[2010 2011 2015 2018 2019]
Mindern,[0.],[2018]
Mine Centre,[15188.],[2018]
Minesing,[50000. 38640.],[2012 2018]
Minett,[50000.],[2015]
Mineville,[10063.  3611.],[2018 2019]
Ming's Bight,[4582.],[2019]
Mingan,[22500.],[2019]
Miniota,[ 3101. 14744.],[2018 2019]
Ministers Island,[8785.],[2018]
Minitonas,[5781. 3686.],[2018 2019]
Minnedosa,[ 26872.  26795.  27062.  27062. 137256.  22266.  30182.],[2006 2009 2010 2011 2012 2018 2019]
Minto,[ 38779. 107842.],[2018 2019]
"Minto, New Brunswick|Minto, Nouveau-Brunswick",[32500.],[2018]
Minton,[2631.],[2018]
Mirabel,"[ 26180.  49818.  98911.  98608. 132866.  69082. 156212. 757815. 365388.
 165097. 984296.]",[2007 2008 2009 2010 2011 2012 2014 2015 2016 2018 2019]
"Mirabel, Quebec|Mirabel, Québec",[30147.],[2017]
Miramichi,"[ 56875.  87941. 108107. 166849. 191599. 116651.  50000. 279116. 416443.
 912769.]",[2006 2007 2008 2010 2011 2012 2014 2015 2018 2019]
"Miramichi, New Brunswick|Miramichi, Nouveau-Brunswick",[125836.  87195.],[2016 2017]
Miscouche,[5257. 1717.],[2018 2019]
"Mishkeegogamang, Ontario",[5784712.],[2017]
Mission,"[289016. 219358. 664892. 387061. 395872. 368498. 396149. 516551. 124816.
 164624.]",[2006 2007 2008 2009 2010 2011 2012 2013 2018 2019]
"Mission, British Columbia|Mission, Colombie-Britannique",[403615.],[2018]
Mississaga,[449609. 479822.],[2009 2010]
Mississauga,"[ 2583163.  2489543.  2394813.  2217251.  2841260.  6079378.  1862936.
  1846131.  1137195.  5359525.  4633838.    22747. 18155833.  6042271.]",[2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019]
"Mississauga, Ontario",[ 438082. 8821040. 1102446.],[2016 2017 2018]
Mistissini,[ 6587. 15934.],[2018 2019]
Mitchell,[46735. 14197. 11678.],[2015 2018 2019]
Mitchell's Bay,[1680.],[2018]
Moberly Lake,[48000.  3451. 12098.],[2014 2018 2019]
"Moberly Lake, British Columbia|Moberly Lake, Colombie-Britannique",[26624.],[2017]
Mobert,[15188.],[2018]
Mobile,[5972. 3055.],[2018 2019]
Moffet,[24266.],[2019]
Monarch,[1632.],[2018]
Monastery,[3095.],[2019]
Moncton,"[3067979. 1844401. 1825050. 1873906. 1856349. 1728926. 1800270.  835396.
 2422011.  374261.  254964.  697714. 4502849.]",[2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2018 2019]
"Moncton, New Brunswick|Moncton, Nouveau-Brunswick",[ 87194. 547583.  81290.],[2016 2017 2018]
Monetville,[50000. 10080.],[2010 2018]
Mono,[61217.  6461.],[2018 2019]
Mont St-Hilaire,[138507. 129849. 955298. 108050. 171878.],[2009 2010 2011 2012 2014]
Mont-Carmel,[ 7848. 52102.],[2018 2019]
Mont-Joli,[116186.  72715.  82980.  26180.  82907.  69733. 332056.],[2006 2007 2008 2009 2010 2018 2019]
"Mont-Joli, Quebec|Mont-Joli, Québec",[76576.],[2018]
Mont-Laurier,[452578. 149674. 178509. 201765. 173631.  38405. 421001.  77274. 631228.],[2006 2008 2009 2011 2012 2014 2015 2018 2019]
Mont-Louis,[23133. 70581.],[2018 2019]
Mont-Royal,[ 43635. 107742.],[2018 2019]
"Mont-Royal, Quebec|Mont-Royal, Québec",[27054.],[2017]
Mont-Saint-Grégoire,[ 22872. 126068.],[2018 2019]
Mont-Saint-Hilaire,[293479. 108157. 127588. 144874. 199682. 270511. 198411.  96197. 207139.],[2006 2007 2008 2009 2010 2014 2016 2018 2019]
"Mont-Saint-Hilaire, Quebec|Mont-Saint-Hilaire, Québec",[131764. 491277.],[2017 2018]
Mont-Saint-Michel,[7968.],[2019]
Mont-Saint-Pierre,[12377. 16570.],[2018 2019]
Mont-St-Pierre,[5976.],[2019]
Mont-Tremblant,[ 49257. 158970. 123981. 142426.  93406.  57552. 163144.],[2007 2009 2011 2012 2013 2018 2019]
Mont-saint-Hilaire,[114774.  88454.],[2009 2011]
Montague,[151204. 142804.  94151. 114466. 145739. 142358.  29100. 139469.  90495.],[2007 2008 2009 2010 2011 2012 2013 2018 2019]
Montcalm,[5764. 7968.],[2018 2019]
Montcerf-Lytton,[3938.],[2019]
Montebello,[13481. 30900.],[2018 2019]
Montmagny,[ 90029. 144941. 163347.  35430.  76436.],[2009 2014 2016 2018 2019]
"Montmagny, Quebec|Montmagny, Québec",[388011.  50000.],[2017 2018]
Montmartre,[ 5506. 16191.],[2018 2019]
Montpellier,[57495.],[2019]
Montreal,"[   51316. 16201630. 26067913. 10809531. 22498259. 10477445.   235114.
 12613183.   853772.]",[2008 2009 2010 2011 2012 2013 2014 2016 2018]
Montreal North,[ 68101. 101358. 217770.],[2012 2013 2016]
Montreal-Nord,[213601.  78655. 235218.],[2011 2012 2013]
Montreal-North,[212152. 613912.  38216.],[2009 2010 2013]
Montreal-West,[0.],[2019]
Montrose,[3040.],[2018]
Montréal,"[1.8827208e+07 2.3286826e+07 2.9031853e+07 1.0390103e+07 7.3525000e+04
 9.6626900e+05 9.0368750e+06 4.1828291e+07 1.5686740e+06 1.0090910e+06
 1.5049017e+07 8.5765171e+07]",[2006 2007 2008 2009 2010 2013 2014 2015 2016 2017 2018 2019]
Montréal Courcelles,[13942.],[2019]
"Montréal Nord, Quebec|Montréal Nord, Québec",[98555.],[2017]
Montréal Ouest,[27500.],[2019]
"Montréal, Quebec|Montréal, Québec",[ 2270511. 22170208.  5468036.],[2016 2017 2018]
Montréal-Est,[18808.],[2018]
Montréal-Nord,[ 72190. 149477. 145286. 179675. 131444.  28018. 872149. 633568.   9550.],[2006 2007 2008 2012 2014 2015 2017 2018 2019]
"Montréal-Nord, Quebec|Montréal-Nord, Québec",[1015287.],[2017]
Montréal-Ouest,[30880.],[2018]
Moonbeam,[48780.  3360.],[2010 2018]
Mooretown,[50000. 75000. 33550. 31920.],[2008 2011 2013 2018]
"Mooretown, Ontario",[50000.],[2018]
Moose Factory,[ 4000000.    53061. 26535780.],[2010 2018 2019]
"Moose Factory, Ontario",[75120.],[2017]
Moose Jaw,"[159087. 363481. 536285. 238242. 238098.  95660. 184551. 194053.  92250.
  32198. 261816. 286881.]",[2006 2007 2008 2009 2010 2011 2012 2013 2015 2016 2018 2019]
"Moose Jaw, Saskatchewan",[56812. 28350.],[2017 2018]
Moosehorn,[ 7117. 10532.],[2018 2019]
Mooseland,[2945.],[2018]
Moosomin,[17089. 57601.],[2018 2019]
Moosonee,[1680.],[2018]
Morden,[28400. 31822. 99617.],[2011 2018 2019]
Morell,"[424127. 179077. 319916.  98900. 135709.  85372. 179987.  84885.  85963.
  10508.  14067.]",[2006 2007 2008 2009 2010 2011 2012 2013 2014 2018 2019]
"Morell, Prince Edward Island|Morell, Île-du-Prince-Édouard",[30550.],[2018]
Moreton's Harbour,[3119.],[2019]
Moricetown,[6901.],[2018]
"Moricetown, British Columbia|Moricetown, Colombie-Britannique",[1360258.],[2017]
Morin-Heights,[ 9058. 35750.],[2018 2019]
Morinville,[132435.  90931. 253409. 478860. 108556. 124559. 157477.],[2006 2007 2008 2010 2016 2018 2019]
"Morinville, Alberta",[2066725.],[2017]
Morley,[58800. 47500.],[2006 2019]
Morpeth,[25637.],[2018]
Morrin,[4896. 4200.],[2018 2019]
Morris,[72310. 77288. 25710. 20997. 43288.],[2007 2008 2012 2018 2019]
Morrisburg,[  25040.   31530.   96197. 1119430.],[2011 2016 2018 2019]
"Morrisburg, Ontario",[936162.],[2018]
Morriston,[464558.],[2007]
Morse,[3048. 5733.],[2018 2019]
Morson,[7119.],[2018]
Moser River,[2209. 4656.],[2018 2019]
Mosher's Corner,[3436. 3611.],[2018 2019]
Mossbank,[10041. 23535.],[2018 2019]
Mossley,[3360.],[2018]
Mossomin,[2631.],[2018]
Mount Albert,[5040.],[2018]
Mount Brydges,[53158.],[2018]
"Mount Brydges, Ontario",[37103.],[2017]
Mount Currie,[4.19600e+04 3.00950e+05 5.69800e+03 8.50135e+06],[2007 2009 2018 2019]
Mount Forest,[26579.],[2018]
"Mount Forest, Ontario",[35750.],[2017]
Mount Hope,[128650.  50457.],[2016 2018]
"Mount Hope, Ontario",[67634.],[2017]
Mount Mellick,[3283.],[2019]
Mount Pearl,"[  28867.  358023.  126370.   87345.  277386.  306114.   96266.  112737.
  297948. 1256267.]",[2009 2010 2011 2012 2013 2014 2015 2016 2018 2019]
"Mount Pearl, Newfoundland and Labrador|Mount Pearl, Terre-Neuve-et-Labrador",[161996. 277742.],[2017 2018]
Mount Pisgah,[1380.],[2019]
Mount Pleasant,[262162.  60667.   6739.],[2008 2011 2018]
Mount Royal,[23914.],[2019]
Mount Stewart,[ 30224. 137535.],[2018 2019]
Mount Stewart ,[25000.],[2019]
Mount Uniacke,[3300. 1734.],[2018 2019]
Mount William,[1540.],[2018]
Mountain,[7157.],[2018]
Mt Pearl,[50180. 46900. 53760. 60480. 60025.],[2006 2007 2008 2009 2011]
Mt-Elgin,[42000.],[2008]
Mt. Elgin,[42000.],[2008]
Mt. Pearl,[134956. 261018. 152890. 172089.  67399.  36885.],[2006 2007 2008 2009 2011 2015]
Mt.Brydges,[5040.],[2018]
Mt.Currie,[25593.],[2008]
Muenster,[50000.  2632.  1328.],[2010 2018 2019]
Muirkirk,[3360.],[2018]
Mulgrave,[93071. 15588. 21323.],[2010 2018 2019]
Mulgrave-et-Derry,[30000.],[2019]
Mulhurst,[30457.],[2019]
Mulhurst Bay,[31212.],[2018]
Mulmur,[8362.],[2018]
Muncey,[13440.],[2018]
Muncho Lake,[1520.],[2018]
Mundare,[4200.],[2019]
Mundleville,[1577. 1380.],[2018 2019]
Muniac,[1577.],[2018]
Munster,[20160.],[2018]
Murdochville,[12170. 62307.],[2018 2019]
Murphy Cove,[1320. 1388.],[2018 2019]
Murray Harbour,[ 5254. 12972.],[2018 2019]
Murray Harbour ,[1388.],[2018]
Murray River,[3465. 6374.],[2018 2019]
Musgrave Harbour,[15930. 16643.],[2018 2019]
Musgravetown,[127065.  87773. 121645.  92527.  92492.   5598.   6110.],[2006 2008 2009 2010 2012 2018 2019]
Muskoday,[7500000.   10522.],[2010 2018]
Muskrat Dam,[16800.],[2018]
Musquash,[8032. 4109.],[2018 2019]
Musquobodoit Hbr,[94916.],[2008]
Musquodoboit Harbour,[123520.  94557.  32801. 374051.],[2007 2008 2018 2019]
Métabetchouan,[ 1080. 10500.],[2018 2019]
Métabetchouan-Lac-à-la-Croix,[ 50478. 111125.],[2018 2019]
Métis-sur-Mer,[19197. 15936.],[2018 2019]
NANAIMO,[8822.],[2019]
NEGUAC,[1577.],[2018]
NELSON,[3781.],[2019]
NEW ROSS,[1540.],[2018]
NEW WESTMINSTER,[17644.],[2019]
NICOLET,[5760.],[2018]
NORTH VANCOUVER,[20465.],[2019]
Nackawic,[10593.  4600.],[2018 2019]
Naicam,[40000. 11356. 69140.],[2015 2018 2019]
Nain,[37489. 15191.],[2007 2019]
Nairn Centre,[1680.],[2018]
Nakina,[11391.  8068.],[2018 2019]
Nakusp,[146534. 146632. 192106. 235675.  22085.  47089.],[2006 2007 2008 2010 2018 2019]
Nampa,[13755.],[2019]
Namur,[ 7614. 14968.],[2018 2019]
Nanaimo,"[1384200. 1751318.  841562. 1636734. 1217161. 2546504.  788671. 3531041.
   35000. 2726025. 2040073. 7257553.]",[2006 2007 2008 2009 2010 2011 2012 2014 2015 2016 2018 2019]
"Nanaimo, British Columbia|Nanaimo, Colombie-Britannique",[1593449.   32000.],[2017 2018]
Nanoose Bay,[9528. 8292.],[2018 2019]
Nantes,[2471. 3000.],[2018 2019]
Nanticoke,[11391.],[2018]
Nanton,[25543. 41319.],[2018 2019]
Napan,[11546.  8218.],[2018 2019]
Napanee,[96606.  4902.],[2018 2019]
Napierville,[30294. 64454.],[2018 2019]
Naramata,[13801. 35288.],[2018 2019]
Narol,[3101. 6356.],[2018 2019]
Nasonworth,[1352. 3220.],[2018 2019]
Natashquan,[ 35844. 130482.],[2018 2019]
Natuashish,[1486269. 2700140. 3497241.],[2010 2017 2019]
"Natuashish, Newfoundland and Labrador|Natuashish, Terre-Neuve-et-Labrador",[2373640.],[2017]
Naughton,[50276.],[2018]
"Naughton, Ontario",[2624995.],[2017]
Nauwigewauk,[17100. 19199.],[2018 2019]
Navan,[43100.  1666.],[2015 2018]
Necum Teuch,[10459.],[2019]
Nedelec,[ 1440. 10000.],[2018 2019]
Neebing,[1680.],[2018]
Neepawa,[49787. 28864. 24208. 89799.],[2006 2013 2018 2019]
Neguac,[31507. 62775. 61863.],[2007 2018 2019]
Neil's Harbour,[20700. 24595.],[2018 2019]
Neilburg,[1316. 2876.],[2018 2019]
Nelson,"[ 359091.  698089.  444008.  846425. 1659502.  118810.  425865.  985285.
 4307811. 2345153. 2387124.]",[2006 2007 2008 2009 2011 2012 2013 2014 2015 2018 2019]
"Nelson, British Columbia|Nelson, Colombie-Britannique",[139941.],[2016]
Nemaska,[12429290.    85467.  2713228.],[2007 2010 2012]
Nemiah Valley,[31053.],[2018]
Nepean,[ 27300. 334628.  50000. 299564. 258811. 286921.],[2010 2014 2015 2016 2018 2019]
"Nepean, Ontario",[32206.],[2017]
Nesbitt,[1340.],[2018]
Nestleton,[7594.],[2018]
Nestor Falls,[9397.],[2018]
Neudorf,[1316.],[2018]
Neufchâtel,[2882.],[2018]
Neuville,[19142. 65391.],[2018 2019]
New Aiyansh,[  82810.   89955. 1392014.],[2007 2009 2013]
New Bandon,[ 7154. 13810.],[2018 2019]
New Bandon ,[1577.],[2018]
New Bonaventure,[5970. 9165.],[2018 2019]
New Carlisle,[ 49279.  98037. 149995.  95990. 115199.  50000.  25727. 209369.],[2007 2008 2010 2012 2013 2015 2018 2019]
"New Carlisle, Quebec|New Carlisle, Québec",[448954.],[2017]
New Denmark,[14404.  7191.],[2018 2019]
New Denver,[22916. 20462.],[2018 2019]
New Dominion,[ 3866. 19848.],[2018 2019]
New Dundee,[3360.],[2018]
New Germany,[4400. 5431.],[2018 2019]
New Glascow,[3611.],[2019]
New Glasgow,"[ 96746. 369880. 133597. 462268. 714422. 297714. 321401. 198950. 199075.
 140156. 205380.]",[2006 2007 2008 2009 2011 2012 2013 2014 2015 2018 2019]
"New Glasgow, Nova Scotia|New Glasgow, Nouvelle-Écosse",[79153.],[2018]
New Hamburg,[70982. 97121.],[2018 2019]
New Harbour,[10669.  8910.],[2018 2019]
New Hazelton,[ 8008. 13384.],[2018 2019]
New Liskeard,[80844. 40396.],[2018 2019]
"New Liskeard, Ontario",[315020.],[2017]
New London,[1734.],[2018]
New Lowell,[1680.],[2018]
New Maryland,[50000.  7882. 11646.],[2009 2018 2019]
New Mills,[1577. 1380.],[2018 2019]
New Minas,[148984. 226629. 241255.  94844.  37173.  32485.],[2006 2007 2008 2012 2018 2019]
New Norway,[1632. 2100.],[2018 2019]
New Perlican,"[95209. 33680. 37889. 32075. 32095. 32115. 32136. 32135. 28899. 31719.
  2009.  5791.]",[2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2018 2019]
New Perth,[1839.],[2019]
New Richmond,[ 79484. 144827.  86494. 110338. 483437.  28146.  92326.],[2009 2010 2011 2014 2016 2018 2019]
"New Richmond, Quebec|New Richmond, Québec",[255370.],[2017]
New Ross,[19820. 26476.],[2018 2019]
New Waterford,[147457. 424257. 151877.  32574.  33603.],[2006 2007 2011 2018 2019]
New Westminister,[17644.],[2019]
New Westminster,"[1585550. 2110627. 1823536. 2501533. 3036302. 1627166.  804122. 2640763.
  469948.  544027. 1031942. 2397585.]",[2006 2007 2008 2009 2010 2011 2012 2013 2015 2016 2018 2019]
"New Westminster, British Columbia|New Westminster, Colombie-Britannique",[ 152427. 1239193.],[2016 2017]
New Westminter,[673626.  45389.],[2008 2010]
New Wstminster,[9926.],[2019]
New-Richmond,[67406.],[2007]
Newbrook,[9500.],[2019]
Newburgh,[1680.],[2018]
Newbury,[1680.],[2018]
Newcastle,[19791.     0.],[2018 2019]
Newmarket,"[ 192214. 1099865. 1957361. 1096330. 1510167. 2481155.  641180.   35000.
  776449.  970689. 1051602. 2635378.  221350.]",[2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2018 2019]
"Newmarket, Ontario",[3000014.],[2017]
Newport,[15587. 18592.],[2018 2019]
Newport Landing,[4400.],[2018]
Newtown,[225455.  32839.  38050.],[2007 2018 2019]
Neyaashiinigmiing,[26000.  7594.  4990.],[2015 2018 2019]
Niagara Falls,[ 128201.  131457. 1644037.  306305.  143865.],[2007 2010 2011 2018 2019]
"Niagara Falls, Ontario",[150628.  34129.],[2017 2018]
Niagara on the Lake,[50000.],[2013]
Niagara-On-The-Lake,[5040.],[2018]
"Niagara-on-the Lake, Ontario",[41223.],[2017]
Niagara-on-the-Lake,"[ 399698. 2175349.   57000.   40283.   67650. 1535719.   56446.   55330.
   81459.  207044.   40915.]",[2006 2007 2010 2011 2012 2013 2014 2015 2016 2018 2019]
"Niagara-on-the-Lake, Ontario",[45011.],[2017]
Nicholsville,[20540.],[2019]
Nicolet,"[126243. 209346. 133621. 193592. 179617. 265000.  66885. 146674.  46137.
 122076.]",[2006 2008 2009 2010 2012 2013 2014 2015 2018 2019]
"Nicolet, Quebec|Nicolet, Québec",[581365.],[2017]
Nigadoo,[2957. 1610.],[2018 2019]
Ninette,[ 6202. 57796.],[2018 2019]
Nipawin,[ 60000.  37418.  81589. 171843.  48196.  32045.  38845.  86003.],[2006 2007 2008 2009 2014 2015 2018 2019]
Nipigon,[35964. 21667.],[2018 2019]
Nipissing,[1680. 3780.],[2018 2019]
Nisku,[27300.],[2019]
Niton Junction,[1632. 2100.],[2018 2019]
Niverville,[  8141. 108982.],[2018 2019]
Nobleford,[13501. 18429.],[2018 2019]
Nobleton,[14000.],[2018]
Noel,[ 3682. 19706.],[2018 2019]
Nokomis,[12671. 12972.],[2018 2019]
Nominingue,[11990. 22936.],[2018 2019]
Nordegg,[ 3264. 25200.],[2018 2019]
Norman Wells,[133419.  45116.  10298.  25238.],[2012 2015 2018 2019]
Norman's Cove,[ 2985. 12220.],[2018 2019]
Normandin,[50000. 42298. 64615.],[2013 2018 2019]
Normétal,[2700. 7500.],[2018 2019]
Norquay,[1549.],[2019]
Norris Arm,[53859. 26515. 28881. 40223.],[2006 2010 2018 2019]
Norris Point,[39850. 22838. 24789.],[2010 2018 2019]
North Battleford,"[110370.  29205. 637837. 110705. 122327.  45973. 312653. 213247.  77458.
  50000. 259388. 228720.]",[2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2018 2019]
"North Battleford, Saskatchewan",[105895.],[2017]
North Battlford,[3982.],[2019]
North Bay,"[   36900.   302733.   474227.  1159282. 19699252.   594234.   190156.
   137348.   552380.    49270.   890530.   326767.  2240531.]",[2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2018 2019]
"North Bay, Ontario",[292721.],[2017]
North Buxton,[16800.],[2018]
North East Margaree,[1619.],[2019]
North Gower,[ 66276. 177107.],[2016 2018]
"North Gower, Ontario",[99452.],[2017]
North Harbour,[8468. 6715.],[2018 2019]
North Hatley,[16905. 65248.],[2018 2019]
North Kingston,[1619.],[2019]
North Lake,[1388. 1472.],[2018 2019]
North Lancaster,[50000.],[2010]
North Lochaber,[3436. 4999.],[2018 2019]
North Milton,[10398. 22778.],[2018 2019]
North Portal,[1316. 1328.],[2018 2019]
North Preston,[3436. 9711.],[2018 2019]
North River,[ 8157. 34202.],[2018 2019]
North Rustico,[ 9466. 29777.],[2018 2019]
North Saanich,[23539. 10448.],[2018 2019]
North Shore,[1650.],[2018]
North Sydney,[ 91431. 105385.],[2018 2019]
North Vancouver,"[ 375713.  925200.  384389. 1140643.  998137.  516893.  161930. 1086440.
   34587.  454978. 1279085.  727732.  830453.]",[2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2018 2019]
"North Vancouver, British Columbia|North Vancouver, Colombie-Britannique",[1539297.   28175.],[2017 2018]
North Wellington,[77136.],[2008]
North West River,[ 5971. 11965.],[2018 2019]
North Weyburn,[3591.],[2019]
North York,"[ 36715. 322680. 175091. 104215. 291355. 106771.  46500. 212378. 605825.
 476373.]",[2006 2007 2008 2009 2010 2011 2012 2016 2018 2019]
"North York, Ontario",[1463750.   50000.],[2017 2018]
North bay,[3797.],[2018]
Northbrook,[3797.],[2018]
Northern Arm,[2009.],[2018]
Northside East Bay,[3682.],[2018]
Norton,[47416. 35104. 34349. 17746. 25540.],[2006 2008 2011 2018 2019]
Norval,[3797.],[2018]
Norwich,[33953.],[2018]
Norwood,[25089. 14751.],[2014 2018]
"Norwood, Ontario",[28389.],[2018]
Notre Dame de Lourdes,[10222.  6868.],[2018 2019]
Notre Dame du Nord,[111778.],[2010]
Notre-Dame,[6597. 3082.],[2018 2019]
Notre-Dame du Nord,[3295907.],[2010]
Notre-Dame-Des-Prairies,[19764.],[2018]
Notre-Dame-Du-Laus,[7848.],[2018]
Notre-Dame-de-Bonsecours,[2880. 3500.],[2018 2019]
Notre-Dame-de-Ham,[11524. 60782.],[2018 2019]
"Notre-Dame-de-Ham, Quebec|Notre-Dame-de-Ham, Québec",[46570.],[2018]
Notre-Dame-de-L'Île-Perrot,[34994.],[2018]
Notre-Dame-de-Lorette,[ 4374. 12960.],[2018 2019]
Notre-Dame-de-Lourdes,[ 6180. 34958.],[2018 2019]
Notre-Dame-de-Montauban,[ 3294. 11218.],[2018 2019]
Notre-Dame-de-Pontmain,[ 2700. 57000.],[2018 2019]
Notre-Dame-de-Stanbridge,[4322. 7968.],[2018 2019]
