Boissevain,[50000. 32412. 46180.]
"Boissevain, Manitoba",[89467. 76535.]
Bolsover,[6300.]
Bolton,[421302. 686502. 668154. 350899. 344533. 353993. 406997. 119550.]
"Bolton, Ontario",[1561162.]
Bolton-Est,[ 6480. 29899.]
Bolton-Ouest,[5711. 9764.]
Bon Accord,[147000.  11424.   6300.]
Bon-Conseil,[6830.]
Bonanza,[6492. 9555.]
Bonaventure,[ 30135.  47372. 122988.]
Bonavista,[ 62900. 139223.  25660.  82819.  85383. 101486.]
"Bonavista, Newfoundland and Labrador|Bonavista, Terre-Neuve-et-Labrador",[34195.]
Bond Head,[9996.]
"Bond Head, Ontario",[46800.]
Bonfield,[40348. 20664.]
Bonne Bay,[1368.]
Bonne Bay Pond,[1005.]
Bonnyville,[ 55342. 153408.]
Bonsecours,[1260.]
Bonshaw,[149195.   6241.   8091.]
Boom Road,[5393.]
Borden-Carleton,[4741. 6867.]
Borden-Carlton,[0.]
Boston Bar,[25000.]
Bothwell,[  187836.  5482999.    17761. 15541202.]
Botwood,[69229. 65302.]
Boucherville,[137960.  86542. 288092. 843840.]
"Boucherville, Quebec|Boucherville, Québec",[319645.]
Bouchette,[13324. 34622.]
Bouctouche,[ 25594. 158006.  59035.  44443.  85225. 103066.]
Boudreau-Ouest,[1840.]
Boularderie,[3300.]
Boulter,[32500.  6440.]
Boutiliers Point,[ 1540. 12453.]
Bow Island,[22996. 23251.]
Bowden,[266860. 270593. 274623.]
Bowen Island,[46324. 62262.]
Bowman,[2520. 7000.]
Bowmanville,[ 30237.  35090. 242468. 283082. 113007.]
"Bowmanville, Ontario",[161498.  50000.]
Bowser,[25000.]
Boylston,[1320. 3237.]
Brace Bridge,[21111.]
Bracebridge,[ 35000. 106519.  49430. 139219.  50000.  52215.  95005.]
Brackendale,[5175.]
Brackley Beach,[4164. 7360.]
Bradford,[65088. 89409.     0.]
"Bradford, Ontario",[46379.]
Braeside,[1680.]
Bragg Creek,"[34990. 67760. 45024. 81056. 61952. 54560. 58656. 38220. 55216. 37944.
 59735. 59350. 69664.]"
"Bragg Creek, Alberta",[84821.]
Bralorne,[3036. 3324.]
Brampton,"[ 201000.  693651. 1989700.  217651.  776523. 3016766.  163469.  123775.
 6933547.  369427.  900788. 3184149. 1243256.]"
"Brampton, Ontario",[ 447620. 1603432.]
Branch,[13814. 15467.]
Branch Lahave,[3080. 3095.]
Branchton,[11391.]
Brandon,"[  173202.  1110758.  1411200.   478957.   821102.   192900.  4193024.
   163335.  6163524.   485906.    66486.    50000.   243316. 16981202.]"
"Brandon, Manitoba",[1231053.  150000.  234778.]
Branford,[49074.]
Brantford,"[  264527.   271320.  2947132.    93923. 10862517.   745825.   185506.
   278058.   848814.   349047.   142054.   729719.  3097783.]"
"Brantford, Ontario",[293714.  73586.]
Bras d'Or,[5332. 7338.]
Bras d'or,[49086.]
Breadalbane,[12986. 13784.]
Brechin,[75000. 64171. 25962.  8750.]
Bredenbury,[1316. 3097.]
Brentwood Bay,[15192. 39366.]
Breslau,[  69520. 5493768.]
