prog_name_en,recipient_city,year,agreement_value
0,Flin Flon,2011,73467
0,Flin Flon,2012,85531
0,Fonthill,2009,43646
0,Fonthill,2011,31585
0,Fort Erie,2011,54759
0,Fort Frances,2009,85519
0,Fort Frances,2011,173410
0,Fort Macleod,2009,27440
0,Fort Macleod,2011,31757
0,Fort Macleod,2012,32791
0,Fort McMurray,2009,40475
0,Fort McMurray,2011,107638
0,Fort McMurray,2012,44287
0,Fort Qu'Appelle,2011,75000
0,Fort Qu'Appelle,2012,91225
0,Fort Saskatchewan,2009,30690
0,Fort Saskatchewan,2012,88400
0,Fort Simpson,2009,2384200
0,Fort Smith,2009,594245
0,Fort Smith,2010,709462
0,Fort St James,2012,66494
0,Fort St. James,2009,44641
0,Fort St. John,2010,598631
0,Fosston,2011,38393
0,Fredericton,2009,3229352
0,Fredericton,2010,2255698
0,Fredericton,2011,5448534
0,Fredericton,2012,1262357
0,Gambo,2009,25515
0,Gambo,2012,93770
0,Gananoque,2009,40000
0,Gander,2009,44667
0,Gander,2012,46595
0,Garden Village,2011,40890
0,Gaspé,2009,158159
0,Gaspé,2012,244201
0,Gatineau,2009,588635
0,Gatineau,2010,97508
0,Gatineau,2011,1135023
0,Gatineau,2012,1997876
0,Geneva,2011,1857000
0,Geneva,2012,800000
0,Genève,2010,493000
0,Georgetown,2009,45858
0,Geraldton,2011,119724
0,Geraldton,2012,86196
0,Glace Bay,2009,175901
0,Glace Bay,2011,165274
0,Goderich,2012,259338
0,Goodfish Lake,2011,41704
0,Gorrie,2012,42233
0,Grafton,2009,166208
0,Grafton,2010,50000
0,Granby,2009,270660
0,Granby,2010,95124
0,Granby,2011,357259
0,Granby,2012,525222
0,Grand Falls,2011,134822
0,Grand Falls-Windsor,2009,49885
0,Grand Falls-Windsor,2011,34593
0,Grand Falls-Windsor,2012,80033
0,Grand Forks,2010,94660
0,Grand Forks,2011,93684
0,Grand Sault,2012,159175
0,Grande Prairie,2009,200255
0,Grande Prairie,2010,155748
0,Grande Prairie,2011,1040101
0,Grande Prairie,2012,820434
0,Granisle,2011,74193
0,Grassy Narrows,2010,335400
0,Gravelbourg,2009,100638
0,Gravelbourg,2011,75000
0,Gravenhurst,2009,31313
0,Grimsby,2009,32500
0,Grimshaw,2012,138042
0,Guatemala City,2012,94080
0,Guelph,2009,362757
0,Guelph,2010,101500
0,Guelph,2011,37800
0,Guelph,2012,955700
0,Guysborough,2012,150483
0,Haliburton,2011,64849
0,Halifax,2009,2670327
0,Halifax,2010,1470658
0,Halifax,2011,4280712
0,Halifax,2012,6150568
0,Ham-Sud,2009,31872
0,Hamilton,2009,2750079
0,Hamilton,2010,1647935
0,Hamilton,2011,1934586
0,Hamilton,2012,2576071
0,Hanna,2012,90473
0,Happy Valley Goose Bay,2009,14999949
0,Happy Valley-Goose Bay,2009,170000
0,Happy Valley-Goose Bay,2012,95216
0,Havelock,2009,498996
0,Havelock,2010,656022
0,Havelock,2011,306116
0,Hazelton,2010,117415
0,Hazelton,2012,99313
0,Head of Chezzetcook,2009,28896
0,Headingley,2011,39345
0,Headingley,2012,37795
0,Hearst,2010,50000
0,Hebron,2011,67737
0,Hebron,2012,68114
0,Hickson,2012,29657
0,High Prairie,2009,69090
0,High Prairie,2011,30690
0,High Prairie,2012,29610
0,High River,2012,65000
0,Hilton Beach,2011,35857
0,Hobbema,2012,2040807
0,Hope,2012,724662
0,Hornby Island,2010,127736
0,Houston,2010,99557
0,Humboldt,2012,50000
0,Huntingdon,2011,2700000
0,Huntingdon,2012,2700000
0,Huntington,2009,2700000
0,Ingersoll,2009,25500
0,Inuvik,2009,7179285
0,Inuvik,2010,46686
0,Iqaluit,2009,334000
0,Iqaluit,2010,520256
0,Iqaluit,2011,997075
0,Iqaluit,2012,2525055
0,Iqualuit,2011,550989
0,Jackson's Point,2009,30468
0,Jacksons Point,2009,41102
0,Joliette,2009,498287
0,Joliette,2010,140746
0,Joliette,2011,518279
0,Joliette,2012,833655
0,Jonquière,2009,313658
0,Jonquière,2011,149576
0,Jonquière,2012,385057
0,Kaboul,2010,400000
0,Kahnawake,2011,1262821
0,Kahnawake,2012,8886071
0,Kamloops,2009,314730
0,Kamloops,2010,817891
0,Kamloops,2011,255762
0,Kamloops,2012,2882518
0,Kamsack,2009,88293
0,Kamsack,2012,89339
0,Kanata,2011,943716
0,Kanata,2012,550000
0,Kapuskasing,2009,369849
0,Kapuskasing,2011,44858
0,Kapuskasing,2012,42635
0,Kawawachikamach,2011,1989318
0,Kelona,2011,41913
0,Kelowna,2009,1537796
0,Kelowna,2010,644844
0,Kelowna,2012,2413985
0,Kemptville,2011,99359
0,Kenora,2009,111253
0,Kenora,2011,110304
0,Kentville,2009,176548
0,Kentville,2011,48757
0,Kentville,2012,247104
0,Kerrobert,2011,74867
0,Killaloe,2012,169908
0,Kincardine,2012,37387
0,Kingston,2009,1381341
0,Kingston,2010,1523692
0,Kingston,2011,2500242
0,Kingston,2012,693744
0,Kingsville,2012,50000
0,Kirkland Lake,2011,59997
0,Kitamaat,2012,32623
0,Kitchener,2009,1340117
0,Kitchener,2010,909059
0,Kitchener,2011,237471
0,Kitchener,2012,571755
0,Knowlton,2010,494728
0,Kuujjuaq,2010,1072724
0,Kuujjuaq,2012,3898372
0,La Baie,2009,147840
0,La Baie,2011,171837
0,La Baie,2012,557624
0,La Corne,2010,50000
0,La Loche,2012,445300
0,La Malbaie,2011,165484
0,La Malbaie,2012,81673
0,La Pocatière,2012,87196
0,La Prairie,2009,25515
0,La Prairie,2011,30927
0,La Prairie,2012,31780
0,La Ronge,2009,65428
0,La Ronge,2010,50000
0,La Ronge,2011,139070
0,La Ronge,2012,41137
0,La Sarre,2011,78166
0,La Sarre,2012,108106
0,La Tuque,2009,133372
0,La Tuque,2011,66339
0,La Tuque,2012,141739
0,LaBaie,2011,33652
0,LaBaie,2012,33614
0,LaSalle,2009,132423
0,LaSalle,2010,97604
0,LaSalle,2011,96214
0,Lac Simon,2011,118960
0,Lac Supérieur,2009,48000
0,Lac-Etchemin,2010,99666
0,Lac-Mégantic,2012,34256
0,Lachine,2010,238570
0,Lachine,2012,198877
0,Lachute,2009,98333
0,Lachute,2011,98845
0,Lachute,2012,38213
0,Lacombe,2009,54880
0,Lacombe,2011,56099
0,Lacombe,2012,57304
0,Langley,2009,153522
0,Larder Lake,2010,50000
0,Lasalle,2011,26068
0,Lasalle,2012,442237
0,Laval,2009,1813888
0,Laval,2010,740380
0,Laval,2011,1375104
0,Laval,2012,3227905
0,Lavaltrie,2011,34533
0,Lavaltrie,2012,67933
0,Lawrencetown,2009,521156
0,Le Bic,2009,213935
0,LeMoyne,2012,80727
0,Lebel-sur-Quévillon,2011,75000
0,Lemoyne,2011,69927
0,Les Coteaux,2011,93633
0,Les Coteaux,2012,192634
0,Les Escoumins,2012,45973
0,Lethbridge,2009,585849
0,Lethbridge,2010,176306
0,Lethbridge,2011,146072
0,Lethbridge,2012,587917
0,Levis,2009,99995
0,Lillooet,2009,63297
0,Lillooet,2012,47410
0,Lima,2011,282760
0,Lima & Pucallpa,2011,46179
0,Limehouse,2009,59988
0,Limehouse,2010,44990
0,Lindsay,2009,67500
0,Lindsay,2010,238802
0,Lindsay,2011,123807
0,Lindsay,2012,493514
0,Listuguj,2012,1004124
0,Little Bay East,2009,36836
0,Little Bay East,2011,32763
0,Little Bay East,2012,30052
0,Little Current,2011,43837
0,Lloydminster,2012,50000
0,Lomond,2009,26658
0,Lomond,2011,31722
0,Lomond,2012,33901
0,London,2008,50000
0,London,2009,564451
0,London,2010,953926
0,London,2011,4023183
0,London,2012,5523418
0,Longueil,2012,82004
0,Longueuil,2009,281293
0,Longueuil,2010,314162
0,Longueuil,2011,1383124
0,Longueuil,2012,1940286
0,Loretteville,2012,73183
0,Louiseville,2009,98885
0,Louiseville,2012,168917
0,Lower Sackville,2010,49900
0,Lower Sackville,2011,92238
0,Lower Sackville,2012,104843
0,Lunenburg,2009,75182
0,Lunenburg,2012,33954
0,Luskville,2011,26988
0,Luskville,2012,59869
0,Lynn Lake,2009,69772
0,Lynn Lake,2010,36262
0,Lytton,2012,77064
0,Lévis,2009,173684
0,Lévis,2010,99995
0,Lévis,2011,191216
0,Lévis,2012,549068
0,M'Chigeeng,2012,2089597
0,Madeira Park,2012,25721
0,Madoc,2011,42601
0,Madoc,2012,31268
0,Magog,2009,166401
0,Magog,2011,69750
0,Magog,2012,63587
0,Makkovik,2009,579798
0,Mallorytown,2009,50000
0,Manawan,2010,49924
0,Manawan,2011,41743
0,Maniwaki,2010,120000
0,Maniwaki,2011,45749
0,Maniwaki,2012,44466
0,Manotick,2009,49000
0,Manotick,2011,37274
0,Manson's Landing,2009,34907
0,Maple Ridge,2009,1756961
0,Maple Ridge,2010,449335
0,Maple Ridge,2011,1337624
0,Maple Ridge,2012,28115
0,Marieville,2010,197510
0,Marieville,2011,99601
0,Markham,2009,40733
0,Markham,2010,338788
0,Markham,2011,242732
0,Markham,2012,1983277
0,Marwayne,2011,75000
0,Mary's Harbour,2010,35513
0,Marystown,2010,39633
0,Marystown,2011,30033
0,Marystown,2012,370067
0,Mascouche,2011,827567
0,Mascouche,2012,64870
0,Mashteuiatsh,2011,102433
0,Mashteuiatsh,2012,1962552
0,Masset,2012,109638
0,Massey,2012,46328
0,Matane,2012,35132
0,Maugerville,2010,50000
0,Mayo,2011,143460
0,Meadow Lake,2011,437928
0,Meaford,2012,50000
0,Medicine Hat,2009,216391
0,Medicine Hat,2010,165254
0,Medicine Hat,2011,189558
0,Medicine Hat,2012,415115
0,Melfort,2009,175106
0,Melfort,2010,174517
0,Melita,2009,77898
0,Melville,2009,77936
0,Melville,2010,77676
0,Melville,2012,45025
0,Merrickville,2010,132186
0,Merrickville,2012,331422
0,Merritt,2009,85443
0,Merville,2012,37880
0,Messines,2011,57548
0,Milton,2012,50000
0,Minden,2010,32500
0,Minden,2011,88425
0,Minesing,2012,50000
0,Minnedosa,2009,26795
0,Minnedosa,2011,27062
